name;salary;experience;company;region;monthly_hours
Аналитик данных (Excel - PowerPivot, PowerQuery, макросы, SQL, Power BI, Python);130000.0;1;ГБУЗ ЦЛО ДЗМ;Москва;176.0
Python-разработчик;200000.0;3;Плейспартс;Волгоград;176.0
Senior Backend Python/Django разработчик;;3;АНО ДО Московская школа программистов;Москва;176.0
Python-разработчик;;3;EPG Service;Москва;176.0
Senior Python Software Engineer (Cyprus);;6;EXNESS Global Limited;Астана;176.0
Менеджер по продажам в офисе (хантер);210000.0;1;ПИТОН;Москва;176.0
Python-разработчик;;3;Страховая компания Freedom Insurance;Алматы;176.0
Python Developer (AI-агенты и LegalTech);;3;СБЕР;Москва;176.0
Senior Data Engineer (Python, ClickHouse);;6;Новео;Тбилиси;176.0
Python backend developer / Бэкенд разработчик на питоне;190000.0;1;Neuro-Core;Москва;176.0
Middle+ / Senior Python разработчик;165000.0;6;RedLab;Санкт-Петербург;176.0
Python Developer (Strong Middle / Senior);;3;UNICON.UZ;Ташкент;176.0
Middle/Strong Middle Python Developer;12600.0;3;DEEPEN;Ташкент;176.0
Senior Python разработчик;;3;Федеральное автономное учреждение Государственный Научно-Исследовательский Институт Авиационных Систем;Москва;176.0
QA Lead (Python);;3;Протей, НТЦ;Санкт-Петербург;176.0
Data Engineer Python (LLM);;3;Neoflex;Нижний Новгород;198.0
Senior Python Developer;;6;Группа Адмитад;Москва;176.0
Python-разработчик;;1;Bereke Bank;Алматы;176.0
Backend Middle Python разработчик в команду AI;180000.0;1;amoCRM;Москва;176.0
Senior Python Backend Engineer;105000.0;3;K-Line Network;Астана;176.0
Python Developer;;1;Team.Inno / Фабрика инноваций и решений;Минск;176.0
Python developer;;3;Планетарий 1;Санкт-Петербург;176.0
Python разработчик (SberOS);;3;СБЕР;Москва;176.0
SDET Python (KESL);;3;Лаборатория Касперского;Москва;176.0
Python/Backend Архитектор/Python 3.x (FastAPI);472500.0;3;Doubletapp;Сербия;176.0
Python Developer (Infrastructure);;3;Леста Игры;Москва;176.0
Python Developer;7245.0;1;NAJOT TA’LIM MARKAZI;Фергана;88.0
Senior Python Backend-разработчик (Высоконагруженные системы, AI) Новосибирск;;3;СофтМолл;Новосибирск;176.0
Python Developer (Middle+);215000.0;3;Фабрика Решений;Москва;176.0
Middle Python Developer;;3;Evercode Lab;Москва;176.0
Python разработчик / автоматизация веб-процессов (Selenium);175000.0;1;Ларионов Алексей Владимирович;Новосибирск;
Fullstack-разработчик (Python / React / JS);;1;AYA Group;Казань;176.0
Преподаватель программирования в онлайн-школу (Python, Unity, HTML);75000.0;0;EasyCode;Челябинск;143.0
Python developer;150000.0;1;Литмаркет;Санкт-Петербург;176.0
Python-разработчик;;6;IVIDEON;Москва;176.0
Backend Python Developer;2280.0;0;Аспирити;Астана;176.0
Руководитель направления (Python Lead);;6;СБЕР;Москва;176.0
Технический лидер внедрения технологий ИИ (IT LEAD Python);;6;Азиатско-Тихоокеанский Банк;Москва;176.0
Преподаватель программирования в онлайн-школу (Python, Unity, Python Backend);75000.0;1;EasyCode;Москва;132.0
Python-разработчик (с переходом в DevOps);;3;Верме;Москва;176.0
Python-разработчик;;3;YADRO;Москва;176.0
Разработчик Python;120000.0;3;ТендерПро;Екатеринбург;176.0
QA Automation (Python);;3;Okko;Москва;176.0
Python-разработчик;;3;FIX PRICE;Москва;176.0
Руководитель направления (Python Lead);;6;СБЕР;Санкт-Петербург;176.0
Python-разработчик;520000.0;1;Хазиев Карим Рашитович;Казань;99.0
Middle+ / Senior инженер автоматизированного тестирования (AQA Python);160000.0;6;RedLab;Москва;176.0
Trainee Python Developer;;0;Team.Inno / Фабрика инноваций и решений;Витебск;176.0
Python Developer (Middle+);;1;БАКАЙ БАНК;Бишкек;176.0
Team Lead (Python);;3;«Aviata» (Freedom Travel);Алматы;176.0
Junior Python разработчик;90000.0;0;hitalent;Москва;176.0
Backend-разработчик Python (Производственная Кассовая Платформа);;3;Вкусно — и точка;Москва;176.0
Преподаватель программирования (Scratch&Roblox/Python Backend/Unity);75000.0;1;EasyCode;Екатеринбург;115.5
Python-разработчик;;3;Т-Банк;Москва;176.0
Старший инженер по автоматизации тестирования (Python);;3;БЮРО 1440;Москва;176.0
Senior Python Developer;225000.0;3;ФИНОНА;Астана;176.0
Python-разработчик;;3;ИСТ;Санкт-Петербург;176.0
Программист-разработчик (Python / C++);150000.0;1;Специальное Программное Обеспечение;Санкт-Петербург;176.0
Senior Python-developer;300000.0;6;Тензор;Санкт-Петербург;176.0
Al- разработчик ботов / Full-Stack разработчик (Python);100000.0;1;Блэкмедиа;Москва;176.0
Middle Python Developer (Django / Highload / Product);180000.0;3;Photo Point;Оренбург;176.0
Python-разработчик (Senior);195000.0;3;НАИС;Ростов-на-Дону;176.0
Backend Python разработчик (middle);;3;СЕРВИСНЫЙ ЦЕНТР ERG;Астана;176.0
Senior python developer;250000.0;3;Тензор;Уфа;176.0
Python Backend Developer;160000.0;3;Эдтех Инвест;Москва;176.0
Middle Python developer;;1;Объединенное Кредитное Бюро;Москва;176.0
Fullstack developer (Python, React/Typescript);;1;Леста Игры;Минск;176.0
